country,doctor_and_nurses,government,journalist,neighbourhood,philantropist,population,scientist,traditional_healers,Capital City,Latitude,Longitude,Population
Belgium,98.7,59.38,77.72,90.28,80.73,11540107.0,98.09,60.02,Bruxelles-Brussel,50.8467,4.3499,2049510
Dominican Republic,87.3,74.64,66.4,69.45,62.85,11008300.0,68.42,8.54,Santo Domingo,18.4896,-69.9018,3172152
Jordan,81.14,69.13,50.34,69.96,54.29,10865228.0,70.52,67.76,Amman,31.9552,35.945,2064582
Greece,89.88,45.16,12.45,71.22,29.04,10699369.0,89.68,28.43,Athínai (Athens),37.9534,23.749,3155600
Portugal,94.15,53.59,61.62,74.77,69.78,10370519.0,89.82,66.0,Lisboa (Lisbon),38.7169,-9.1399,2927316
Sweden,96.29,68.88,75.08,95.29,79.24,10353686.0,96.74,26.01,Stockholm,59.3326,18.0649,1582968
Hungary,90.02,53.44,44.86,89.97,78.28,9749457.0,94.47,57.29,Budapest,47.498,19.0399,1759497
Tajikistan,79.29,56.93,57.68,70.9,47.22,9749310.0,84.78,59.08,Dushanbe,38.5358,68.7791,872653
United Arab Emirates,86.71,56.93,68.0,70.97,84.74,9448524.0,81.19,64.93,Abu Zaby (Abu Dhabi),24.4648,54.3618,1419699
Austria,96.99,73.87,75.35,88.44,82.12,8921405.0,95.68,61.15,Wien (Vienna),48.2064,16.3707,1900547
Israel,96.8,49.81,65.76,76.72,70.03,8800376.0,91.0,59.57,Jerusalem,31.769,35.2163,907062
Switzerland,97.5,93.89,83.17,86.47,80.61,8640582.0,94.56,61.26,Bern,46.9481,7.4474,422153
Bulgaria,86.11,39.35,54.11,75.73,61.01,6933652.0,87.88,44.47,Sofia,42.6975,23.3242,1272418
Serbia,80.92,53.02,28.97,73.16,68.26,6907812.0,86.93,34.49,Beograd (Belgrade),44.8176,20.4633,1389351
Kyrgyzstan,85.96,61.7,66.77,89.44,74.75,6664140.0,72.09,50.64,Bishkek,42.87,74.59,996319
Paraguay,74.29,35.87,49.54,65.66,58.26,6603739.0,61.79,46.74,Asunción,-25.3007,-57.6359,3222199
Nicaragua,80.4,56.08,67.15,62.54,63.73,6565267.0,63.16,17.95,Managua,12.1328,-86.2504,1047923
El Salvador,82.61,75.33,48.32,56.8,68.62,6234673.0,62.71,22.48,San Salvador,13.6894,-89.1872,1106698
Denmark,98.0,84.56,73.64,95.2,88.74,5831530.0,97.87,59.38,København (Copenhagen),55.6759,12.5655,1320826
Lebanon,75.15,17.75,40.96,69.77,50.46,5702398.0,58.57,42.96,Bayrut (Beirut),33.9,35.4833,2385271
Finland,98.8,81.69,82.38,93.56,83.2,5529612.0,96.92,35.64,Helsinki,60.1692,24.9402,1279096
Slovakia,91.61,55.88,64.76,87.63,77.53,5455024.0,93.8,40.55,Bratislava,48.1482,17.1067,429920
Norway,99.4,96.27,87.92,96.13,91.86,5379274.0,98.17,45.59,Oslo,59.9127,10.7461,1012225
New Zealand,96.87,86.58,76.62,93.92,94.02,5069895.0,96.05,57.98,Wellington,-41.2866,174.7756,411346
Costa Rica,88.43,46.33,57.62,64.6,72.78,5034320.0,81.71,19.35,San José,9.9278,-84.0807,1357745
Ireland,94.08,80.04,74.24,87.94,84.32,4982606.0,91.48,44.29,Dublin,53.3331,-6.2489,1201426
Croatia,95.36,43.4,53.35,84.48,74.61,3953958.0,91.31,30.52,Zagreb,45.8144,15.978,685587
Georgia,83.47,58.59,62.1,83.91,64.35,3795678.0,80.81,59.28,Tbilisi,41.6941,44.8337,1077333
Uruguay,93.18,74.13,64.8,79.75,78.82,3398968.0,90.99,20.19,Montevideo,-34.8335,-56.1674,1736989
Mongolia,84.49,54.88,64.57,77.54,63.48,3290785.0,81.78,81.36,Ulaanbaatar,47.9077,106.8832,1520381
Albania,69.03,43.57,53.49,50.72,54.68,2871954.0,49.19,42.43,Tiranë (Tirana),41.3275,19.8189,475577
Lithuania,89.62,66.82,55.18,89.25,76.41,2795765.0,93.0,29.29,Vilnius,54.6892,25.2798,536055
Namibia,70.25,46.75,55.34,54.18,52.31,2728762.0,50.17,23.45,Windhoek,-22.5594,17.0832,404280
Gabon,53.78,34.57,31.13,28.19,40.93,2322539.0,41.52,30.37,Libreville,0.3925,9.4537,813489
Slovenia,95.28,48.73,68.35,88.75,73.35,2102419.0,93.37,37.15,Ljubljana,46.0511,14.5051,286491
Latvia,90.34,39.07,54.25,80.67,83.61,1901123.0,90.25,20.5,Riga,56.946,24.1059,637089
North Macedonia,73.09,40.69,46.07,66.87,59.14,1872015.0,60.83,47.3,Skopje,42.0,21.4333,584208
Bahrain,82.39,56.93,51.47,64.29,70.51,1483077.0,71.1,60.27,Al-Manamah (Manama),26.2154,50.5832,564631
Estonia,94.95,55.19,60.17,87.24,83.33,1329669.0,96.61,28.08,Tallinn,59.437,24.7535,437027
Cyprus,87.08,49.85,53.95,83.88,76.19,1302247.0,82.5,59.03,Lefkosia (Nicosia),35.1595,33.3669,269469
Mauritius,77.22,55.2,63.64,64.15,72.88,1283223.0,61.4,48.68,Port Louis,-20.1619,57.4989,149365
Montenegro,79.24,52.35,39.11,68.27,72.35,607935.0,67.7,34.61,Podgorica,42.4411,19.2636,177177
Malta,97.59,81.33,67.01,80.57,86.21,518207.0,88.95,80.79,Valletta,35.8997,14.5147,212768
Bolivia,67.71,42.0,48.27,57.68,53.4,11816299.0,58.67,34.62,La Paz,-16.5,-68.15,1814087
Bosnia Herzegovina,80.54,24.64,46.19,79.27,70.48,3299349.0,76.15,30.34,Sarajevo,43.8486,18.3564,342577
Congo Brazzaville,53.54,56.08,49.84,39.63,53.94,95989998.0,45.62,40.88,Brazzaville,-4.2658,15.2832,2229693
Czech Republic,97.48,46.44,56.14,88.3,84.3,10697858.0,97.1,51.52,Praha (Prague),50.088,14.4208,1291552
Hong Kong,93.13,39.44,57.36,74.22,60.28,7481000.0,79.63,78.87,Hong Kong,22.2796,114.1887,7428887
Iran,94.31,47.31,64.53,83.55,74.44,87723443.0,93.32,75.05,Tehran,35.6944,51.4215,8895947
Moldova,62.27,19.42,48.16,65.15,60.89,2635130.0,63.67,18.89,Chişinău,47.0056,28.8575,509707
Russia,69.66,46.14,32.39,76.0,63.33,145245148.0,85.55,10.95,Moskva (Moscow),55.755,37.6218,12409738
South Korea,94.59,51.89,31.07,84.13,61.07,51836239.0,91.24,74.79,Seoul,37.5683,126.9778,9963497
Tanzania,96.37,93.69,90.83,88.91,88.18,60972798.0,89.76,37.04,Dodoma,-6.1722,35.7395,261645
United States,96.69,53.49,58.78,89.7,88.25,331526933.0,93.66,64.67,"Washington, D.C.",38.8951,-77.0364,5206593
Venezuela,77.46,29.6,53.85,61.17,59.52,28444077.0,66.7,27.05,Caracas,10.488,-66.8792,2934560
